PRENDA;36;37;38;39;40;41;42;43;44;45;46;47;48;49;50;51;52;53;54;55;56;57;58;59;60;TOTAL
PANTALON VERDE;0;0;0;0;5;0;4;0;10;0;9;0;12;0;3;0;2;0;4;0;1;0;0;0;0;50
PANTALON AZUL;0;0;0;0;5;0;4;0;0;0;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;11
CAMISA VERDE;0;0;0;0;6;0;0;0;5;0;8;0;0;0;0;0;0;0;0;0;0;0;0;0;0;19
CAMISA AZUL;0;0;1;0;2;0;0;0;2;0;2;0;1;0;0;0;0;0;0;0;0;0;0;0;0;8
CAZADORA VERDE INVIERNO;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;2;0;1;0;0;5
CHAQUETILLA VERDE;0;0;0;0;0;0;0;0;0;0;0;0;2;0;1;0;4;0;0;0;6;0;7;0;0;20
BATA BLANCA;0;0;0;0;0;0;0;0;0;0;0;0;4;0;1;0;0;0;0;0;0;0;0;0;0;5
BOTAS;0;1;4;4;5;3;1;0;2;2;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;23
