PRODUCTO;PROVEEDOR;PRESENTACION;ALMACENAJE;NOMBRE COMERCIAL;DEPARTAMENTO
SCHARLAU ;SCHARLAU ;FALSE;FALSE;SCHARLAU ;LABORATORIO
SERVIQUIMIA ;SERVIQUIMIA ;FALSE;FALSE;SERVIQUIMIA ;LABORATORIO
SGL ;SGL ;FALSE;FALSE;SGL ;LABORATORIO
SIGMA-ALDRICH ;SIGMA-ALDRICH ;FALSE;FALSE;SIGMA-ALDRICH ;LABORATORIO
TEKNOKROMA ;TEKNOKROMA ;FALSE;FALSE;TEKNOKROMA ;LABORATORIO
THERMO-FISHER ;THERMO-FISHER ;FALSE;FALSE;THERMO-FISHER ;LABORATORIO
VIDRAFOC ;VIDRAFOC ;FALSE;FALSE;VIDRAFOC ;LABORATORIO
VWR INTERNATIONAL;VWR INTERNATIONAL;FALSE;FALSE;VWR INTERNATIONAL;LABORATORIO
ACEITE MINERAL;COGELSA;GRG;ALMACEN QUIMICOS ;ULTRATERMIC P-6;PRODUCCION
ACIDO CITRICO;BARCELONES;PALETS CON SACAS;PREPARACION ALMACEN REFINERIA;ACIDO CITRICO 1-H ALIMENTARIO;PRODUCCION
BIOCIDA;ADIVETER;GRG;ALMACEN QUIMICOS;FORMAD - PLUS;PRODUCCION
BIOCIDA PARA ENERSOY;ADIVETER;PALETS CON SACAS;PREPARACION ALMACEN REFINERIA;FORMAD - DRY;PRODUCCION
CARBON ACTIVO;OMYA CLARIANA;PALETS CON SACAS;PREPARACION ALMACEN REFINERIA;NORIT SA 4 PAH;PRODUCCION
COAGULANTE;STENCO;GRG;ALMACEN QUIMICOS;STENCOFLOC - 6020 -T;PRODUCCION
TIERRAS DECOLANTES;CLARIANT;BIG BAGS DE 1000 KG;PREPARACION ALMACEN REFINERIA;TONSIL 372/TONSIL 112F;PRODUCCION
TIERRAS FILTRANTES;AGROVIN;PALETS CON SACAS;PREPARACION ALMACEN REFINERIA;RADIFILL;PRODUCCION
FALSE;ESINSA;FALSE;OFICINA TECNICA;FALSE;DEP. TECNICO
MATERIAL DE OFICINA;GALCOR;FALSE;OFICINA TECNICA;FALSE;DEP. TECNICO
TONERS / MATERIAL IMPRESION INFORMATICO;KONICA MINOLTA;FALSE;OFICINA TECNICA;FALSE;DEP. TECNICO
RODAMIENTOS , POLEAS Y CORREAS;BRAMMER;FALSE;FALSE;FALSE;MANTENIMIENTO
CORREAS RODAMIENTOS NEUMATICA VALVULAS RACORERIA;ABINA;FALSE;FALSE;ABINA;MANTENIMIENTO
NEUMATICA VALVULAS ELECTROVALVULAS;INDUTEC;FALSE;FALSE;INDUTEC;MANTENIMIENTO
CORREAS VALVULAS NEUMATICA ELECTROVALVULAS;BUENAVENTURA GINER;FALSE;FALSE;BUENAVENTURA GINER;MANTENIMIENTO
POLEAS CORREAS;DINAMICA;FALSE;FALSE;DINAMICA;MANTENIMIENTO
RODAMIENTOS POLEAS CORREAS;NEDAX TDV;FALSE;FALSE;NEDAX TDV;MANTENIMIENTO
RODAMIENTOS;ROPESA;FALSE;FALSE;ROPESA;MANTENIMIENTO
VALVULAS AUTOMATICAS;SAMSON;FALSE;FALSE;SAMSON;MANTENIMIENTO
EPIS;GUMMI;FALSE;FALSE;COMERCIAL GUMMI;MANTENIMIENTO
FERRETERIA;SUMINISTROS MERCA;FALSE;FALSE;SUMINISTROS MERCA;MANTENIMIENTO
MATERIAL ELECTRICO;ELECTROSTOCKS;FALSE;FALSE;ELECTROSTOCKS;MANTENIMIENTO
ATEX;DINAMIC CONTROL;FALSE;FALSE;DINAMIC CONTROL;MANTENIMIENTO
MATERIAL ELECTRICO;GUERIN;FALSE;FALSE;GUERIN;MANTENIMIENTO
MATERIAL ELECTRICO;NOVELEC;FALSE;FALSE;NOVELEC;MANTENIMIENTO
MATERIAL ELECTRICO;WATVOL;FALSE;FALSE;WATVOL;MANTENIMIENTO
BOMBA SULFURICO;INBEAT;FALSE;FALSE;INBEAT;MANTENIMIENTO
RECAMBIOS BOMBA DE CAÑA , LUBRIFICANTE T LINCOLN;RIVI;FALSE;FALSE;RIVI;MANTENIMIENTO
BOMBAS WILDEN INOX;TECNICA FLUIDOS;FALSE;FALSE;TECNICA FLUIDOS;MANTENIMIENTO
REPARACION BOMBAS CENTRIFUGAS;SCARBO;FALSE;FALSE;SCARBO;MANTENIMIENTO
REPARACION BOMBAS;TEYSE;FALSE;FALSE;TEYSE;MANTENIMIENTO
TORICAS;CASTELAO;FALSE;FALSE;CASTELAO;MANTENIMIENTO
MANGUERAS;COMERCIAL GASSO;FALSE;FALSE;COMERCIAL GASSO;MANTENIMIENTO
CADENA TRANSMISION;SUCADE;FALSE;FALSE;SUCADE;MANTENIMIENTO
TALLER MECANIZADO;BADORC;FALSE;FALSE;BADORC;MANTENIMIENTOFALSE;FALSE;FALSE;FALSE;FALSE;MANTENIMIENTO
FALSE;FALSE;FALSE;FALSE;FALSE;MANTENIMIENTO
FALSE;FALSE;FALSE;FALSE;FALSE;MANTENIMIENTO
FALSE;FALSE;FALSE;FALSE;FALSE;MANTENIMIENTO
FALSE;FALSE;FALSE;FALSE;FALSE;MANTENIMIENTO
FALSE;FALSE;FALSE;FALSE;FALSE;MANTENIMIENTO
FALSE;FALSE;FALSE;FALSE;FALSE;MANTENIMIENTO
FALSE;FALSE;FALSE;FALSE;FALSE;MANTENIMIENTO
