PANTALON VERDE;0;0;0;0;5;0;3;0;9;0;8;0;12;0;4;0;4;0;4;0;2;0;0;0;0;51;0
PANTALON AZUL;0;0;0;0;4;0;2;0;0;0;1;0;0;0;2;0;0;0;0;0;0;0;0;0;0;9;1
CAMISA VERDE;0;0;0;0;6;0;0;0;5;0;7;0;0;0;1;0;0;0;0;0;0;0;0;0;0;19;2
CAMISA AZUL;0;0;1;0;2;0;0;0;0;0;2;0;4;0;0;0;0;0;0;0;0;0;0;0;0;9;3
CAZADORA VERDE INVIERNO;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;1;4
CHAQUETILLA VERDE;0;0;0;0;0;0;0;0;0;0;0;0;2;0;1;0;4;0;0;0;6;0;8;0;1;22;5
BATA BLANCA;0;0;0;0;0;0;0;0;0;0;1;0;2;0;0;0;0;0;0;0;0;0;1;0;0;4;6
BOTAS;0;0;3;2;4;2;5;2;0;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;20;7
