LABORATORIOS VIDAL;LABORATORIOS VIDAL;FALSE;FALSE;LABORATORIOS VIDAL;LABORATORIO;55
LGC STANDARDS;LGC STANDARDS;FALSE;FALSE;LGC STANDARDS;LABORATORIO;56
MASS� ANAL�TICS;MASS� ANAL�TICS;FALSE;FALSE;MASS� ANAL�TICS;LABORATORIO;57
MIELE;MIELE;FALSE;FALSE;MIELE;LABORATORIO;58
MT BRANDAO;MT BRANDAO;FALSE;FALSE;MT BRANDAO;LABORATORIO;59
PANREAC;PANREAC;FALSE;FALSE;PANREAC;LABORATORIO;60
PRECINTIA INTERNATIONAL;PRECINTIA INTERNATIONAL;FALSE;FALSE;PRECINTIA INTERNATIONAL;LABORATORIO;61
ROYAL PACK;ROYAL PACK;FALSE;FALSE;ROYAL PACK;LABORATORIO;62
SCHARLAB;SCHARLAB;FALSE;FALSE;SCHARLAB;LABORATORIO;63
SCHARLAU;SCHARLAU;FALSE;FALSE;SCHARLAU;LABORATORIO;64
SERVIQUIMIA;SERVIQUIMIA;FALSE;FALSE;SERVIQUIMIA;LABORATORIO;65
SGL;SGL;FALSE;FALSE;SGL;LABORATORIO;66
SIGMA-ALDRICH;SIGMA-ALDRICH;FALSE;FALSE;SIGMA-ALDRICH;LABORATORIO;67
TEKNOKROMA;TEKNOKROMA;FALSE;FALSE;TEKNOKROMA;LABORATORIO;68
THERMO-FISHER;THERMO-FISHER;FALSE;FALSE;THERMO-FISHER;LABORATORIO;69
VIDRAFOC;VIDRAFOC;FALSE;FALSE;VIDRAFOC;LABORATORIO;70
VWR INTERNATIONAL;VWR INTERNATIONAL;FALSE;FALSE;VWR INTERNATIONAL;LABORATORIO;71
ACEITE MINERAL;COGELSA;GRG;ALMACEN QUIMICOS;ULTRATERMIC P-6;PRODUCCION;72
ACIDO CITRICO;BARCELONES;PALETS CON SACAS;PREPARACION ALMACEN REFINERIA;ACIDO CITRICO 1-H ALIMENTARIO;PRODUCCION;73
BIOCIDA;ADIVETER;GRG;ALMACEN QUIMICOS;FORMAD - PLUS;PRODUCCION;74
BIOCIDA PARA ENERSOY;ADIVETER;PALETS CON SACAS;PREPARACION ALMACEN REFINERIA;FORMAD - DRY;PRODUCCION;75
CARBON ACTIVO;OMYA CLARIANA;PALETS CON SACAS;PREPARACION ALMACEN REFINERIA;NORIT SA 4 PAH;PRODUCCION;76
COAGULANTE;STENCO;GRG;ALMACEN QUIMICOS;STENCOFLOC - 6020 -T;PRODUCCION;77
TIERRAS DECOLANTES;CLARIANT;BIG BAGS DE 1000 KG;PREPARACION ALMACEN REFINERIA;TONSIL 372/TONSIL 112F;PRODUCCION;78
TIERRAS FILTRANTES;AGROVIN;PALETS CON SACAS;PREPARACION ALMACEN REFINERIA;RADIFILL;PRODUCCION;79
FALSE;ESINSA;FALSE;OFICINA TECNICA;FALSE;DEP. TECNICO;80
MATERIAL DE OFICINA;GALCOR;FALSE;OFICINA TECNICA;FALSE;DEP. TECNICO;81
TONERS / MATERIAL IMPRESION INFORMATICO;KONICA MINOLTA;FALSE;OFICINA TECNICA;FALSE;DEP. TECNICO;82
RODAMIENTOS , POLEAS Y CORREAS;BRAMMER;FALSE;FALSE;FALSE;MANTENIMIENTO;83
CORREAS RODAMIENTOS NEUMATICA VALVULAS RACORERIA;ABINA;FALSE;FALSE;ABINA;MANTENIMIENTO;84
NEUMATICA VALVULAS ELECTROVALVULAS;INDUTEC;FALSE;FALSE;INDUTEC;MANTENIMIENTO;85
CORREAS VALVULAS NEUMATICA ELECTROVALVULAS;BUENAVENTURA GINER;FALSE;FALSE;BUENAVENTURA GINER;MANTENIMIENTO;86
POLEAS CORREAS;DINAMICA;FALSE;FALSE;DINAMICA;MANTENIMIENTO;87
RODAMIENTOS POLEAS CORREAS;NEDAX TDV;FALSE;FALSE;NEDAX TDV;MANTENIMIENTO;88
RODAMIENTOS;ROPESA;FALSE;FALSE;ROPESA;MANTENIMIENTO;89
VALVULAS AUTOMATICAS;SAMSON;FALSE;FALSE;SAMSON;MANTENIMIENTO;90
EPIS;GUMMI;FALSE;FALSE;COMERCIAL GUMMI;MANTENIMIENTO;91
FERRETERIA;SUMINISTROS MERCA;FALSE;FALSE;SUMINISTROS MERCA;MANTENIMIENTO;92
MATERIAL ELECTRICO;ELECTROSTOCKS;FALSE;FALSE;ELECTROSTOCKS;MANTENIMIENTO;93
ATEX;DINAMIC CONTROL;FALSE;FALSE;DINAMIC CONTROL;MANTENIMIENTO;94
MATERIAL ELECTRICO;GUERIN;FALSE;FALSE;GUERIN;MANTENIMIENTO;95
MATERIAL ELECTRICO;NOVELEC;FALSE;FALSE;NOVELEC;MANTENIMIENTO;96
MATERIAL ELECTRICO;WATVOL;FALSE;FALSE;WATVOL;MANTENIMIENTO;97
BOMBA SULFURICO;INBEAT;FALSE;FALSE;INBEAT;MANTENIMIENTO;98
RECAMBIOS BOMBA DE CA�A , LUBRIFICANTE T LINCOLN;RIVI;FALSE;FALSE;RIVI;MANTENIMIENTO;99
BOMBAS WILDEN INOX;TECNICA FLUIDOS;FALSE;FALSE;TECNICA FLUIDOS;MANTENIMIENTO;100
REPARACION BOMBAS CENTRIFUGAS;SCARBO;FALSE;FALSE;SCARBO;MANTENIMIENTO;101
REPARACION BOMBAS;TEYSE;FALSE;FALSE;TEYSE;MANTENIMIENTO;102
TORICAS;CASTELAO;FALSE;FALSE;CASTELAO;MANTENIMIENTO;103
MANGUERAS;COMERCIAL GASSO;FALSE;FALSE;COMERCIAL GASSO;MANTENIMIENTO;104
CADENA TRANSMISION;SUCADE;FALSE;FALSE;SUCADE;MANTENIMIENTO;105
TALLER MECANIZADO;BADORC;FALSE;FALSE;BADORC;MANTENIMIENTO;106
