PANTALON VERDE;0;0;0;0;5;0;3;0;8;0;8;0;12;0;4;0;4;0;4;0;2;0;0;0;0;50;0
PANTALON AZUL;0;0;1;0;2;0;4;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;9;1
CAMISA VERDE;0;0;0;0;6;0;0;0;4;0;3;0;0;0;1;0;0;0;0;0;0;0;0;0;0;14;2
CAMISA AZUL;0;0;1;0;2;0;0;0;0;0;0;0;4;0;0;0;0;0;0;0;0;0;0;0;0;7;3
CAZADORA VERDE INVIERNO;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;1;4
CHAQUETILLA VERDE;0;0;0;0;0;0;0;0;0;0;0;0;2;0;1;0;4;0;0;0;6;0;8;0;1;22;5
BATA BLANCA;0;0;0;0;0;0;0;0;0;0;1;0;2;0;0;0;0;0;0;0;0;0;1;0;0;4;6
BOTAS;0;1;2;3;4;2;5;2;1;2;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;23;7
